wavelength,flux
3808.026,98.7749
3808.904,98.6593
3809.781,100.2278
3810.659,101.1902
3811.536,99.5274
3812.413,104.4256
3813.292,99.4241
3814.169,99.6565
3815.048,98.2428
3815.926,99.1098
3816.806,106.6174
3817.684,103.1805
3818.562,100.9946
3819.443,103.7484
3820.322,105.8744
3821.202,99.2250
3822.082,94.4047
3822.963,95.7203
3823.842,93.7919
3824.724,92.5443
3825.604,99.1771
3826.484,93.7422
3827.366,104.0480
3828.247,101.9549
3829.130,101.2686
3830.010,101.3000
3830.894,97.4812
3831.775,104.2534
3832.656,108.9206
3833.540,98.7925
3834.422,102.8535
3835.306,105.6573
3836.189,99.3148
3837.073,97.2584
3837.956,105.9212
3838.839,103.3285
3839.724,93.5973
3840.608,95.6869
3841.493,105.1393
3842.377,106.2245
3843.263,113.0356
3844.147,102.0347
3845.031,95.4309
3845.918,94.6164
3846.803,100.5084
3847.690,101.8343
3848.575,98.1212
3849.463,96.5478
3850.348,102.3133
3851.234,110.0924
3852.122,100.9838
3853.008,109.6092
3853.897,102.7321
3854.783,97.2583
3855.672,99.5173
3856.559,100.9633
3857.446,102.5109
3858.336,107.5457
3859.223,108.7747
3860.114,102.5990
3861.001,106.4397
3861.892,94.5182
3862.780,99.6933
3863.669,99.8719
3864.560,106.1417
3865.449,112.5489
3866.340,107.2710
3867.230,104.8540
3868.121,103.3260
3869.011,104.9314
3869.901,96.8619
3870.794,110.6848
3871.684,99.1046
3872.577,104.7595
3873.468,110.5389
3874.361,103.5185
3875.252,106.5375
3876.144,108.7719
3877.038,100.9869
3877.930,100.7299
3878.824,102.7246
3879.716,110.1393
3880.611,100.7052
3881.504,99.2784
3882.396,101.0466
3883.292,102.5320
3884.185,107.4547
3885.081,101.7394
3885.975,105.8518
3886.871,94.3379
3887.765,102.9512
3888.659,103.4338
3889.556,109.0298
3890.451,102.0825
3891.348,93.9456
3892.243,99.7634
3893.141,99.6010
3894.036,101.8158
3894.934,96.6472
3895.830,100.0252
3896.726,100.2200
3897.625,101.6181
3898.521,102.3379
3899.421,102.0459
3900.318,98.5903
3901.217,95.3661
3902.115,104.0164
3903.012,103.2097
3903.912,91.0098
3904.810,95.6193
3905.711,96.6624
3906.609,105.6120
3907.510,100.2031
3908.409,97.7204
3909.308,106.6753
3910.210,103.5977
3911.109,100.7952
3912.011,96.8163
3912.911,95.1930
3913.813,95.2632
3914.714,100.9879
3915.614,105.1970
3916.517,99.2271
3917.418,95.2577
3918.322,101.0369
3919.223,99.9599
3920.127,99.6345
3921.029,95.2799
3921.931,101.0052
3922.835,101.4173
3923.737,98.9675
3924.642,99.7713
3925.545,94.1784
3926.450,90.2686
3927.354,99.2301
3928.257,104.9501
3929.163,103.9799
3930.067,99.0962
3930.973,107.2923
3931.877,104.7709
3932.784,104.9340
3933.689,99.9093
3934.594,96.2393
3935.501,98.0078
3936.406,94.2249
3937.314,101.5299
3938.220,99.7634
3939.128,100.3318
3940.034,104.3671
3940.941,101.3074
3941.849,97.5719
3942.756,94.6645
3943.665,98.0058
3944.573,105.2752
3945.482,103.3214
3946.390,108.0506
3947.298,97.1736
3948.208,98.9935
3949.116,106.2189
3950.027,107.2031
3950.936,98.9029
3951.847,98.3390
3952.756,101.2286
3953.665,93.0532
3954.577,96.5107
3955.487,97.8753
3956.399,101.4680
3957.309,101.9269
3958.221,95.6306
3959.132,94.0348
3960.045,95.6943
3960.956,100.4349
3961.867,101.4716
3962.781,96.7695
3963.692,98.4024
3964.606,95.6822
3965.519,99.6893
3966.433,98.2469
3967.345,102.5406
3968.258,99.6068
3969.173,102.6909
3970.086,105.3659
3971.002,100.2406
3971.915,97.0722
3972.831,95.5478
3973.745,98.0000
3974.659,96.1720
3975.576,101.6359
3976.490,95.4229
3977.407,101.6213
3978.323,102.0560
3979.240,99.1985
3980.155,100.9004
3981.071,97.0094
3981.989,99.9008
3982.905,101.9995
3983.823,98.2574
3984.740,98.9378
3985.659,100.5192
3986.576,93.0411
3987.493,91.3545
3988.412,99.6589
3989.330,102.4998
3990.250,96.6336
3991.168,97.8862
3992.088,97.9978
3993.006,92.4272
3993.925,94.8684
3994.846,90.6141
3995.765,95.0268
3996.686,94.5637
3997.606,94.1182
3998.528,102.6496
3999.448,90.1926
4000.367,97.9588
4001.290,97.7187
4002.210,97.4988
4003.133,90.5280
4004.054,92.5289
4004.978,94.2329
4005.899,95.0027
4006.821,95.4817
4007.745,94.0111
4008.667,97.9806
4009.591,99.1574
4010.513,93.3335
4011.438,100.3284
4012.361,87.6455
4013.284,94.8359
4014.209,94.0655
4015.133,90.9830
4016.059,94.2153
4016.983,90.9742
4017.909,90.3204
4018.833,91.2353
4019.758,87.3855
4020.685,93.8373
4021.610,93.0645
4022.537,91.1529
4023.462,98.7492
4024.390,100.5693
4025.316,93.6962
4026.242,90.2725
4027.170,87.2183
4028.097,91.3174
4029.026,91.1552
4029.953,93.5072
4030.882,94.0779
4031.809,97.0520
4032.739,92.6388
4033.667,93.0619
4034.595,95.9192
4035.525,91.6461
4036.453,92.6179
4037.384,94.1031
4038.313,92.7051
4039.244,94.5376
4040.174,87.0626
4041.103,93.1774
4042.035,96.4274
4042.965,93.3477
4043.897,91.3210
4044.827,94.3796
4045.760,100.4180
4046.691,94.0521
4047.622,94.4241
4048.555,95.3588
4049.486,95.9924
4050.420,92.2271
4051.352,90.4613
4052.286,92.5603
4053.219,91.8726
4054.151,90.1044
4055.086,92.6834
4056.019,90.5972
4056.954,90.2123
4057.887,91.6354
4058.823,96.5229
4059.757,89.7269
4060.691,89.0394
4061.627,93.6650
4062.561,89.9557
4063.498,87.8766
4064.433,94.4353
4065.370,85.5090
4066.305,89.6937
4067.241,91.1028
4068.179,92.3423
4069.115,91.7031
4070.053,89.9883
4070.989,89.7754
4071.928,90.8226
4072.865,90.7643
4073.802,90.5597
4074.741,94.1758
4075.679,96.0138
4076.618,87.0512
4077.556,87.5300
4078.497,88.6667
4079.435,87.5947
4080.373,87.9794
4081.314,90.5460
4082.253,93.7686
4083.194,91.9130
4084.134,85.8215
4085.076,91.1194
4086.015,92.5204
4086.955,85.4362
4087.898,93.0177
4088.838,86.8215
4089.781,90.9219
4090.722,91.3888
4091.665,85.6843
4092.606,86.0046
4093.548,89.0845
4094.492,91.6711
4095.434,92.0023
4096.378,87.2250
4097.321,84.6981
4098.266,94.8331
4099.208,89.8952
4100.151,89.5927
4101.097,89.5665
4102.040,85.2710
4102.986,87.7927
4103.930,89.8231
4104.876,92.0594
4105.821,87.8762
4106.768,86.3556
4107.712,90.6896
4108.657,88.2756
4109.604,92.6178
4110.550,92.6399
4111.498,90.7283
4112.444,93.8559
4113.392,88.0217
4114.338,85.3915
4115.285,87.7748
4116.234,89.0511
4117.181,87.0737
4118.130,83.5819
4119.078,90.2890
4120.027,89.3965
4120.975,86.3184
4121.923,90.2484
4122.874,91.1802
4123.822,85.4934
4124.773,89.1133
4125.722,91.7321
4126.673,92.8707
4127.623,86.1452
